Human Being	Frick off
Zoe.dnb	O no. Mercy is in a identity crisis again
Scribble	Jeff for H28
Vellocet	Remember the battle mercy meta on PTR when they first put valk in the game.  bring those times back
BUDA20	AT least!, that spectator feature is a must have!.
Feueroger	If I watch OWWC through the World Cup Viewer, can I listen to the twitch-cast in real time too?
Musoko	*hears buffs for sym and mercy* I’m leaving this game, never coming back
Dob Rozner	Yes, I can imagine it, because I was doing it in Halo 3 over ten years ago lol.
Imban3z	Could you rework your 'rework' of Rein's Shatter. You managed to rework it oblivion. I am standing behind walls, carts and still getting stunned. It's all over the place
You’re Green	Fix Reinhardt
Simon Carroll	balance changes suck. Mercy's hps in valk is not enough. it should be 60hps overall. and or higher in valk -_-
Jon Sharvin	Change widow maker right now I mean it
Deniz Cem Kaya	overwatch is a pay once type of game (honestly who even buys lootboxes) that has a very demanding community and is in constant development. e-sports stage gives them opportunities to earn money and show their game, so it’s understandable why they care this much about it. I look forward to reaper buff but mercy really doesnt need buffs as long as she has res.
Silly The Pumpkin King	Can we have text chat on console like the PC does please
IONIX	Sym should be getting nerfed not buffed
NCG-JSG-JMG	Sooooo...... just like fortnite’s gameplay reply?
Jcriptobeta	Overwatch in a nutshell: What is actually adding content lol lets change mercy for the 4th time anyway watch our sport please
Ollie Bartlett	YEA BOIS WE GOT NEW SKINS AND THE SAME BORING EVENT!!!!!!!!!
Joohker	I REALLY want a highlight system were i can share highlights with my friends, and it would also be cool i i could you know use the same system you use in the world cup viewer in my highlight, so i can you know fly around and stuff so i'm not just limited to watching my view  But i really think we need some more things to do in overwatch, like a new gamemode, like 2v2, personally i would really like a 2v2 or just some other fun gamemode
dudewithout acoolname	MERCY MAINS ITS OK YOU CAN COME OUT OF HIDING NOW
Beneteus der graue Wolf	Fix Mercy? Finaly give us back Mass Res and a propper E ability?
Harok9	Casual bullshit, meanwhile we still waiting for your long promised "long term changes" for ranked... urgh owl still gets pumped with the ressources we need.. the rent was over over ranked, but suddenly came a back up for a bit. im suprised they still baiting all the normies.
GreedyChip	Bring mercy back. please
Swampy948	“Using this limited World Cup viewer will help us get the technology for a replay” completely ignoring that Heroes of the Storm and other various games have working replay systems lol. Cmon guys.
Wind ManV3	So put all the effort into something that people don't really care about, and no effort at all put into a new map, hero, bug fixes, quality of life changes, potential buffs for other characters, etc.?  Yeah, that sounds like the usual, typical Overwatch update and development cycle.  How about fixing Ranked? Listening to valid feedback? No? Despite the game being made by an AAA company and the game being $60? No?  Okay then...
LieMintPyon	can they just nerf brig to the ground already? nobody loves getting smacked and bashed by brig while she doesnt get any drawbacks from doing that also buffing mercy heals back to 60/s, really? aerial pharmercy oppression is back while ground bashing girl is still left uncheck
Hunter	No offense but fortnite already have replay system
VOID gaming	WHO IS THAT AN WHICH TEAM IS HE ON ;_;
Andrew Taylor	Delete coonfist from the game
Max de Sousa	Mercy buff... Mercy nerf... Mercy nerf... Mercy nerf... Mercy buff... Mercy nerf... Mercy rework... Mercy nerf... Mercy nerf so deep you can see what she ate for breakfast... Mercy buff
TJM Matthews29	what why only the PC players get these special events first and then they get this? can’t y’all make it available for console fore Xbox1 and Ps4?, no new maps? or characters yet?, let’s see the Junker Town Queen to compete with Junkrat and the other heroes of the game one day, and please fix the lootbox system items the way they drop randomly
Rhys Clement-Evans	Great update. I really like the way that Jeff talks to the community. Looking forward to the replay feature, that is going to be so useful.
talal	While it's a really cool feature, are we going to be able to listen to the casters or it's going to be gameplay audio only?
Ninerz 415	Is Jeff drunk? And do people still play this game?
TikTok Daily	They’re buffing symetra. You Serious
geekette studio	All I can hear are the fellow mercy main screaming with join XD
Cutshrimp 81448	Make hanzo normal again!!!!! >:(
Silver Soul	Why buff sym and mercy go fuckyourself jeff you ruined this game
Wang Alex	I feel scared every time I see Jeff… think about what if my mains get nerf
Mista Misz 2	I don't care about the overwatch league. Please keep balancing game, and give us new modes. Game getting stale. A guild system, level editor, new modes, competitive TDM, more balance fixes (Sombra, Moira and the stunning/cc are a little OP), etc is needed.
lol	Looking forward to Roadhog's buff!
xX_SOGEN_Xx	Yeah I can imagine watching my matches later on with infinite camera controls. Halo 3 had this ten years ago.
JWatchCraft	Can you start paying attention to the events that this game has? It's getting a bit annoying doing the same old events 3 times in a row. Add new gamemodes for the next one and the next ones after please.
Yhojan Alberto Ramírez Sequeira	Took two years and half for this to be on Beta...
dekumutant	my name jeff
jacob bonicamp	right after blops4 comes out. Stupid
Henrik Hempel	I thought he said: Mercy and Roadhog are disgusting
Bear Jew	I love overwatch with all my heart but it is dying and no one can denie that
falsesetto	i can hear jeff struggling to say "mercy buff"  edit: what the hecc 200 likes-
Lena Miaou	Dear Jeff,  Bring back Tracer please.  Regards,  Lena
Mimikyu’s Life	Let’s not be to excited about the buffs to these heroes, because they’ll all get nerfed back down anyway :/
Dullmoments	Good Developer update! Jeff seems super excited about what is going to be revealed at Blizzcon. I think they are going to be releasing a new hero; he was a bit cheeky about saying "We are not going to be releasing.......a new map" I think we were expecting him to say "We are not going to be releasing.....a new hero".
Adam Trinidad	Console player here, feeling like the 3rd wheel again.
Not Visible	We want overwatch content..not skins, not twitch content... Map, events, new ways to play. Not last year's stuff and a new map with a Halloween theme
Apples	So they, nerf and buff, nerf and buff the same heroes again just to buff them again? Mercy alone has been fixed like 3 times already... wtf
Honest Dix	I just wish United Nation Of Overwatch Voice Actor Panel 2018 have more than 9 casts like 15 or something.I have prediction for cast will be appear that panel for my perspective: 1.Darin De Paul 2.Cara Theobold 3.Crispin Freeman 4.Lucie Pohl 5.Keith Ferguson 6.Matthew Mercer 7.Jonny Cruz 8.Carolina Ravassa 9.Charlet Chung 10.Cherrelle Skeete 11.Genevieve O'Reilly 12.Feodor Chin 13.Dolya Gavanski 14.Matilda Smedius 15.Jonathan Lipow
Sam Torstensson	Anyone think this was a new hero?
Anime Dimension	Overwatch is dying dont @ me
Douglas Cavalcanti	Mercy finally getting the BIG REZ!! She's been dead for too long. :D
Choukri Affane	CS GO came out with this "technology" a while ago. Ironically it has the same name XD
Chris Walters	It's not a Mercy buff. It's a partial un-nerf. I'm waiting for them to make Mercy fun to play again. I've been waiting for this basically since the rework. Super Jump is fun and all, but that's about it these days.
AnalogFlame	CS GO already did this
MeatManTV	What about the Reinhardt animation lock bug? Or people simply 'hopping' over Earthshatter when they're in direct contact with it? Are these not bugs?
Polaroid	@dinoflask
hej san	NOOOOOOOOOOOOOOOOO ONE CARES
X Arias	Yay Mercy buff😀😁
Red	Brace yourselves for pro players complaining about the new mercy
elijah Davila	My favourite part about this video is that it looks like someone else photoshopped their own hands into the bottom, but nope, Jeff just moves like a Zuckerberg.
GAME OVER 001	Papa Jeff, how many duplicates till I can get something like a skin that is not old?
Michael Lin	Wow is it another April fool?
Kitteh Kass	WTF SEEING IT IN SPECTATOR VIEW?! OMFG YES
katsupoi	mercy still dead
James DeRosa	Trash update. Almost all the dev time is obviously going to pro-play and pro-viewership features. Don't care about any of that. Fix competitive.  "I'm not going into all the details of the actual changes to the game, even though I just spent six minutes talking about a bunch of minutia about pro garbage that only applies to a portion of the player base."
Oliv7715	Her said that they are not anouncing a new map at BlizCon. But her said nothing about a new hero
Tyler Woods	These are reverts for Mercy.... she's still not going to be good. Revert the ult to Mass Rez and remove invulnerability, give her an E ability.
Sappy-Seaman	Talon tank, is it an omnic? Mech? Barrier?
Ice Vodka	it will be amazing for content creators, not normal use. its gonna be like a unique feature you never use
Realms	Blizzard, Make a map that is a theatre in which people log on, choose a hero and can watch the overwach league in game on a screen! Its friendly and awesome.
Darren	nerf torb
OddJaguar15	1:15 Hey uh. Valve has been doing this for a while.          Jeff I think you should meet Gaben, you seem to be a few years behind.
BadBoiRian	Mercy? BUFF? As in buff? Of Mercy? Is it April 1st?
dave shoe	Hey is there a reason why I’m i’ve barely getting legendary in loot box’s especially around this special events
Shnoz Wanger	I bought the BlizzCon virtual ticket. Asked for a refund . Returned it . There’s no “Exclusive “ skin this year. Bunch of BS is all I see and hear
Santo :1 : l	Just please more Lego sets please. I wish I wish
Mohd Imran	dead game
XxDeathSurferxX	yay mercy is geting back 60 heal om ;} know i wish you  bring back her old ult ;{
